no.peserta,tahun,jenis.kelamin,kode.asal,kode.pendidikan,pendidikan,skd.twk,skd.tiu,skd.tkp,skd.total,skd.hasil,kode.prodi,nama.prodi,kode.formasi,lokasi.formasi,
S2440160123602937,2024,P,36,3001000,SMA,90,155,204,449,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123308860,2024,P,33,3001000,SMA,105,140,203,448,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111601330,2024,L,16,3001000,SMA,90,155,200,445,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900332,2024,L,19,3001000,SMA,100,165,180,445,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123311646,2024,P,33,3001000,SMA,80,155,204,439,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121404289,2024,P,14,3001000,SMA,110,140,188,438,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900819,2024,L,19,3001000,SMA,105,150,183,438,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160113307849,2024,L,33,3001000,SMA,95,145,196,436,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111206829,2024,L,12,3001000,SMA,95,155,186,436,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121303379,2024,P,13,3001000,SMA,100,160,174,434,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111901090,2024,L,19,3001000,SMA,75,160,198,433,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111802566,2024,L,18,3001000,SMA,95,135,197,427,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121605419,2024,P,16,3002000,MA,80,145,197,422,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900640,2024,P,19,3001000,SMA,85,140,197,422,P/L,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121218721,2024,P,12,3001000,SMA,95,135,192,422,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160123400917,2024,P,34,3002000,MA,80,155,187,422,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160121900301,2024,P,19,3001000,SMA,80,145,196,421,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
S2440160111900505,2024,L,19,3001000,SMA,90,145,184,419,P,5000121,D-IV STATISTIKA,40160010,KEPULAUAN BANGKA BELITUNG,
