no.peserta,tahun,jenis.kelamin,kode.asal,kode.pendidikan,pendidikan,skd.twk,skd.tiu,skd.tkp,skd.total,skd.hasil,kode.prodi,nama.prodi,kode.formasi,lokasi.formasi,
S2440160121101153,2024,P,11,3002000,MA,45,65,175,285,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100271,2024,P,11,3001000,SMA,55,50,177,282,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101319,2024,P,11,3001000,SMA,60,45,173,278,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100097,2024,P,11,3002000,MA,55,60,163,278,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104000,2024,P,11,3002000,MA,45,45,175,265,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104064,2024,P,11,3002000,MA,55,70,137,262,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100266,2024,P,11,3001000,SMA,55,60,146,261,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121206870,2024,P,12,3001000,SMA,45,45,167,257,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103285,2024,P,11,3001000,SMA,40,50,151,241,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102019,2024,P,11,3002000,MA,40,35,154,229,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121607505,2024,P,16,3002000,MA,40,35,136,211,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111211137,2024,L,12,3001000,SMA,None,None,None,None,TH,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111103120,2024,L,11,3001000,SMA,None,None,None,None,TH,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111101263,2024,L,11,3001000,SMA,None,None,None,None,TH,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121214044,2024,P,12,3001000,SMA,110,150,197,457,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111211063,2024,L,12,3001000,SMA,100,160,196,456,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206151,2024,P,12,3001000,SMA,110,140,199,449,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111201936,2024,L,12,3001000,SMA,105,150,191,446,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111212512,2024,L,12,3001000,SMA,90,160,193,443,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201561,2024,P,12,3002000,MA,115,130,196,441,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211603,2024,P,12,3001000,SMA,110,150,178,438,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111211658,2024,L,12,3001000,SMA,90,155,191,436,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121203037,2024,P,12,3001000,SMA,105,125,205,435,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121202386,2024,P,12,3001000,SMA,95,140,197,432,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201127,2024,P,12,3001000,SMA,90,150,192,432,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208557,2024,P,12,3001000,SMA,105,125,200,430,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201145,2024,P,12,3001000,SMA,90,145,195,430,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121214620,2024,P,12,3001000,SMA,75,150,204,429,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208344,2024,P,12,3001000,SMA,80,145,204,429,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121220131,2024,P,12,3171110,SMK TIK,70,165,192,427,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111400720,2024,L,14,3001000,SMA,85,145,196,426,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111201349,2024,L,12,3001000,SMA,90,140,196,426,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111212394,2024,L,12,3001000,SMA,90,145,188,423,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121202836,2024,P,12,3001000,SMA,75,150,197,422,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121216787,2024,P,12,3001000,SMA,90,135,196,421,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201282,2024,P,12,3001000,SMA,75,155,188,418,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211933,2024,P,12,3001000,SMA,100,130,187,417,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111201181,2024,L,12,3001000,SMA,80,125,211,416,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201688,2024,P,12,3002000,MA,80,155,180,415,P/L,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121207581,2024,P,12,3001000,SMA,95,120,199,414,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121214932,2024,P,12,3001000,SMA,85,130,198,413,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111215315,2024,L,12,3001000,SMA,80,140,192,412,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121209327,2024,P,12,3001000,SMA,85,125,201,411,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160123403008,2024,P,34,3001000,SMA,65,150,195,410,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111211672,2024,L,12,3001000,SMA,75,160,173,408,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111208737,2024,L,12,3001000,SMA,85,125,197,407,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121215917,2024,P,12,3001000,SMA,85,130,192,407,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200023,2024,P,12,3002000,MA,105,125,176,406,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111214864,2024,L,12,3001000,SMA,70,135,200,405,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121218938,2024,P,12,3001000,SMA,105,130,170,405,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121216712,2024,P,12,3001000,SMA,80,130,192,402,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121210066,2024,P,12,3001000,SMA,95,125,182,402,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208845,2024,P,12,3001000,SMA,75,155,172,402,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200926,2024,P,12,3001000,SMA,70,145,186,401,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111215380,2024,L,12,3001000,SMA,80,125,195,400,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121215827,2024,P,12,3001000,SMA,85,125,190,400,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121205239,2024,P,12,3001000,SMA,95,115,190,400,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111218888,2024,L,12,3001000,SMA,80,125,194,399,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111204731,2024,L,12,3001000,SMA,85,125,189,399,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121207369,2024,P,12,3001000,SMA,95,95,208,398,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121215434,2024,P,12,3001000,SMA,70,135,193,398,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201303,2024,P,12,3001000,SMA,70,145,183,398,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121203352,2024,P,12,3001000,SMA,70,135,192,397,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212000,2024,P,12,3001000,SMA,70,135,191,396,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111206586,2024,L,12,3001000,SMA,85,120,191,396,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200351,2024,P,12,3001000,SMA,95,120,181,396,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111211573,2024,L,12,3001000,SMA,95,110,190,395,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121218837,2024,P,12,3001000,SMA,95,125,175,395,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121218749,2024,P,12,3001000,SMA,65,160,169,394,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211300,2024,P,12,3001000,SMA,80,115,198,393,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111212569,2024,L,12,3001000,SMA,95,100,198,393,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217018,2024,P,12,3001000,SMA,70,130,192,392,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111219429,2024,L,12,3001000,SMA,70,140,182,392,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111216501,2024,L,12,3001000,SMA,80,135,177,392,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217371,2024,P,12,3001000,SMA,80,115,196,391,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200711,2024,P,12,3001000,SMA,80,120,191,391,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200267,2024,P,12,3171110,SMK TIK,100,105,186,391,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111200133,2024,L,12,3001000,SMA,95,120,176,391,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121219630,2024,P,12,3001000,SMA,75,120,195,390,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208315,2024,P,12,3001000,SMA,70,135,185,390,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121213676,2024,P,12,3001000,SMA,80,115,194,389,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111217674,2024,L,12,3001000,SMA,75,130,184,389,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121210794,2024,P,12,3001000,SMA,85,135,169,389,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206081,2024,P,12,3001000,SMA,70,130,188,388,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212413,2024,P,12,3001000,SMA,65,140,183,388,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121213869,2024,P,12,3001000,SMA,80,125,183,388,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111217438,2024,L,12,3002000,MA,70,140,178,388,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212055,2024,P,12,3001000,SMA,100,120,168,388,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121213096,2024,P,12,3001000,SMA,80,115,192,387,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121215878,2024,P,12,3001000,SMA,70,125,191,386,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206902,2024,P,12,3001000,SMA,80,115,191,386,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121218806,2024,P,12,3001000,SMA,95,100,191,386,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111205848,2024,L,12,3001000,SMA,65,135,186,386,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111202652,2024,L,12,3001000,SMA,65,130,190,385,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111220182,2024,L,12,3001000,SMA,70,130,185,385,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111203013,2024,L,12,3001000,SMA,90,125,170,385,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121202034,2024,P,12,3001000,SMA,80,115,188,383,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111201217,2024,L,12,3002000,MA,90,120,173,383,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111202128,2024,L,12,3001000,SMA,80,110,192,382,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111203314,2024,L,12,3001000,SMA,85,110,187,382,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121205833,2024,P,12,3001000,SMA,75,125,182,382,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121204333,2024,P,12,3001000,SMA,80,105,196,381,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121204292,2024,P,12,3001000,SMA,65,120,195,380,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217636,2024,P,12,3001000,SMA,85,115,180,380,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211175,2024,P,12,3001000,SMA,95,110,175,380,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121203495,2024,P,12,3001000,SMA,65,110,204,379,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121202733,2024,P,12,3171110,SMK TIK,65,115,198,378,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206106,2024,P,12,3001000,SMA,80,110,188,378,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121215326,2024,P,12,3001000,SMA,90,100,188,378,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200157,2024,P,12,3001000,SMA,80,115,183,378,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211199,2024,P,12,3002000,MA,85,125,168,378,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121213951,2024,P,12,3001000,SMA,80,110,187,377,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212754,2024,P,12,3001000,SMA,80,115,182,377,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111211894,2024,L,12,3001000,SMA,70,110,196,376,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121204560,2024,P,12,3001000,SMA,85,95,195,375,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121209422,2024,P,12,3001000,SMA,70,115,190,375,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111204669,2024,L,12,3001000,SMA,75,110,189,374,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111215713,2024,L,12,3002000,MA,65,125,184,374,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111205668,2024,L,12,3001000,SMA,80,115,179,374,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111218257,2024,L,12,3001000,SMA,95,90,187,372,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121203628,2024,P,12,3001000,SMA,80,100,191,371,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212819,2024,P,12,3001000,SMA,75,110,186,371,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206124,2024,P,12,3002000,MA,65,125,181,371,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201231,2024,P,12,3001000,SMA,90,90,190,370,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121203361,2024,P,12,3001000,SMA,70,125,175,370,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121216196,2024,P,12,3001000,SMA,85,90,194,369,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160123313064,2024,P,33,3001000,SMA,85,100,183,368,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206672,2024,P,12,3001000,SMA,90,105,173,368,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211753,2024,P,12,3001000,SMA,90,105,173,368,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121205778,2024,P,12,3001000,SMA,85,100,182,367,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217542,2024,P,12,3001000,SMA,65,115,186,366,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121205143,2024,P,12,3002000,MA,65,120,181,366,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212673,2024,P,12,3001000,SMA,85,110,170,365,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111206780,2024,L,12,3002000,MA,80,105,179,364,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121214150,2024,P,12,3001000,SMA,75,115,174,364,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121215863,2024,P,12,3001000,SMA,80,110,174,364,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121209776,2024,P,12,3001000,SMA,80,110,174,364,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211092,2024,P,12,3001000,SMA,80,115,169,364,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121220128,2024,P,12,3001000,SMA,95,100,169,364,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200447,2024,P,12,3001000,SMA,65,100,197,362,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206379,2024,P,12,3002000,MA,65,115,182,362,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200087,2024,P,12,3001000,SMA,70,105,186,361,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111207101,2024,L,12,3001000,SMA,75,100,186,361,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121214486,2024,P,12,3001000,SMA,90,95,176,361,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206199,2024,P,12,3002000,MA,75,90,195,360,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121209486,2024,P,12,3001000,SMA,80,90,190,360,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121211423,2024,P,12,3001000,SMA,65,100,194,359,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121202841,2024,P,12,3001000,SMA,65,115,179,359,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121210538,2024,P,12,3002000,MA,80,100,179,359,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217612,2024,P,12,3001000,SMA,85,100,174,359,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111204094,2024,L,12,3001000,SMA,70,95,193,358,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121215135,2024,P,12,3001000,SMA,75,105,178,358,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217263,2024,P,12,3001000,SMA,65,130,163,358,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121202766,2024,P,12,3002000,MA,95,85,177,357,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217779,2024,P,12,3001000,SMA,65,100,190,355,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121213661,2024,P,12,3001000,SMA,65,105,185,355,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121210231,2024,P,12,3002000,MA,65,110,178,353,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121400942,2024,P,14,3001000,SMA,65,100,187,352,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121201675,2024,P,12,3001000,SMA,65,105,182,352,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121204764,2024,P,12,3001000,SMA,80,95,177,352,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121205499,2024,P,12,3001000,SMA,65,120,167,352,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121213478,2024,P,12,3001000,SMA,75,100,176,351,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121219399,2024,P,12,3001000,SMA,75,95,180,350,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111200814,2024,L,12,3001000,SMA,65,100,184,349,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121206142,2024,P,12,3002000,MA,70,95,184,349,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121209596,2024,P,12,3001000,SMA,90,95,164,349,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121213771,2024,P,12,3001000,SMA,65,100,183,348,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111208403,2024,L,12,3001000,SMA,70,85,192,347,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121214330,2024,P,12,3001000,SMA,75,85,187,347,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111208287,2024,L,12,3001000,SMA,65,105,177,347,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121402395,2024,P,14,3001000,SMA,65,100,181,346,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121216457,2024,P,12,3001000,SMA,70,95,180,345,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111210701,2024,L,12,3001000,SMA,75,90,180,345,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208632,2024,P,12,3002000,MA,70,85,188,343,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200517,2024,P,12,3001000,SMA,75,85,183,343,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121214039,2024,P,12,3001000,SMA,70,85,187,342,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121218767,2024,P,12,3001000,SMA,65,95,182,342,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111208618,2024,L,12,3001000,SMA,65,95,181,341,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200546,2024,P,12,3001000,SMA,70,90,180,340,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111217083,2024,L,12,3001000,SMA,65,105,170,340,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121216570,2024,P,12,3002000,MA,80,85,174,339,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111212587,2024,L,12,3001000,SMA,85,85,169,339,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208326,2024,P,12,3001000,SMA,65,100,173,338,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212716,2024,P,12,3001000,SMA,65,115,158,338,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121218233,2024,P,12,3001000,SMA,65,110,162,337,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208520,2024,P,12,3001000,SMA,85,80,171,336,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121200249,2024,P,12,3001000,SMA,80,90,166,336,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121208788,2024,P,12,3001000,SMA,65,85,185,335,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121214983,2024,P,12,3002000,MA,85,85,165,335,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121207527,2024,P,12,3001000,SMA,75,85,174,334,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121217366,2024,P,12,3001000,SMA,70,85,178,333,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121303423,2024,P,13,3001000,SMA,65,85,182,332,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121203172,2024,P,12,3001000,SMA,75,80,172,327,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121202771,2024,P,12,3001000,SMA,75,80,169,324,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160113102286,2024,L,31,3001000,SMA,65,90,157,312,P,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111216172,2024,L,12,3001000,SMA,50,150,197,397,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212778,2024,P,12,3001000,SMA,55,145,190,390,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111212291,2024,L,12,3001000,SMA,60,130,191,381,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121207248,2024,P,12,3002000,MA,60,145,173,378,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111202942,2024,L,12,3001000,SMA,50,115,210,375,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111211511,2024,L,12,3001000,SMA,55,145,175,375,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121216600,2024,P,12,3001000,SMA,50,140,182,372,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121216099,2024,P,12,3001000,SMA,60,110,193,363,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121207592,2024,P,12,3001000,SMA,80,130,151,361,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121210200,2024,P,12,3001000,SMA,60,120,180,360,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121218248,2024,P,12,3001000,SMA,75,135,150,360,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111218914,2024,L,12,3001000,SMA,60,115,184,359,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212622,2024,P,12,3002000,MA,50,120,188,358,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111214309,2024,L,12,3001000,SMA,55,125,177,357,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121212857,2024,P,12,3001000,SMA,60,110,186,356,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111200272,2024,L,12,3002000,MA,60,110,182,352,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121205574,2024,P,12,3001000,SMA,50,115,186,351,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160121209855,2024,P,12,3001000,SMA,60,115,176,351,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111214714,2024,L,12,3001000,SMA,75,130,146,351,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111213898,2024,L,12,3002000,MA,55,110,183,348,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111201998,2024,L,12,3001000,SMA,60,110,176,346,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
S2440160111212262,2024,L,12,3001000,SMA,90,65,190,345,TL,4412070,D-III STATISTIKA,40160003,SUMATERA UTARA,
